FrameIndex,TimeSec,LevelIndex,CPU_Frame_Total,CPU_Update_Total,CPU_Render_Total,CPU_BeginDraw,CPU_Draw_Total,CPU_Renderer_Draw,CPU_Level_Render,CPU_Present,CPU_Render_Priority,CPU_Render_Shadow,CPU_Render_NonBlend,CPU_Render_OutlineMask,CPU_Render_Lights,CPU_Render_Combined,CPU_Render_PostProcess,CPU_Render_NonLight,CPU_Render_Blend,CPU_Render_UI,CPU_Render_Debug,CPU_RenderProfile_BindAndDraw,CPU_Model_BindBoneMatrices,CPU_Mesh_BindBoneMatrices,CPU_Model_BindMaterial,CPU_Draw_Text,CPU_Render_ProfilerOverlay,GPU_Frame_Total,GPU_Render_Shadow,GPU_Render_NonBlend,GPU_Render_Lights,GPU_Render_Combined,GPU_Render_Blend,GPU_Render_UI,DrawCalls_Total,DrawCalls_Shadow,DrawCalls_NonBlend,Triangles_Total,Triangles_Shadow,Triangles_NonBlend,Objects_Shadow,Objects_NonBlend,ShaderBeginCount,MaterialBindCount,TextureBindCount,TextDrawCalls
201,1.53102,3,26.0347,3.1936,22.8376,0.0021,22.4932,21.9287,0.3261,0.339,0.0217,7.6294,6.0321,8.0908,0.0396,0.0278,0.0181,0.0006,0.0021,0.002,0.0579,5.2955,5.4088,5.3309,0.5193,0.1847,0.2327,2.13456,0.92348,0.96016,0.10568,0.05896,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
202,1.55382,3,22.2624,2.4288,19.8298,0.0021,19.4631,19.0659,0.2376,0.3619,0.022,4.9626,10.045,3.9215,0.0305,0.0191,0.0136,0.0006,0.0016,0.0017,0.0422,9.2907,5.2678,5.1973,0.6036,0.1284,0.1547,1.97004,1.40532,0.33292,0.09676,0.05596,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
203,1.57852,3,24.0497,2.7664,21.2794,0.0025,20.9654,20.4224,0.3431,0.3085,0.0275,8.047,5.6472,6.4582,0.0423,0.042,0.0226,0.0009,0.0029,0.0029,0.1214,5.0368,5.3114,5.2313,0.4754,0.1796,0.1949,2.02384,1.43836,0.34908,0.0986,0.05696,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
204,1.60072,3,21.4703,2.8084,18.6578,0.0024,18.2659,17.7425,0.3442,0.3857,0.0255,4.1251,7.4614,5.9589,0.0696,0.0307,0.0136,0.0007,0.0015,0.0019,0.0465,6.7532,5.3898,5.3161,0.6277,0.1593,0.1735,1.55296,0.84116,0.48256,0.0956,0.05532,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
205,1.62529,3,23.9578,2.4163,21.5375,0.0026,21.094,20.5539,0.2735,0.4375,0.0254,6.5683,8.686,5.067,0.0395,0.0318,0.0196,0.0008,0.0027,0.0022,0.1013,7.9211,6.271,6.1679,0.6724,0.2258,0.2604,1.39608,0.82832,0.34732,0.09284,0.05392,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
206,1.64893,3,22.9904,2.7352,20.2515,0.0021,19.8365,19.3128,0.2831,0.4094,0.0217,5.2529,6.4371,7.4393,0.037,0.0293,0.0211,0.0008,0.0023,0.0024,0.061,5.8056,5.4022,5.3269,0.52,0.1899,0.2348,4.25952,3.56784,0.34296,0.09416,0.055,4e-05,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
207,1.67181,3,22.3543,2.8529,19.4976,0.0026,19.1229,18.7107,0.2497,0.3685,0.0315,5.5727,9.2791,3.7097,0.0309,0.0192,0.0125,0.0004,0.0015,0.0016,0.0459,8.5695,5.4887,5.406,0.663,0.1334,0.1574,1.39276,0.83116,0.3362,0.09384,0.05476,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
208,1.69662,3,24.3093,2.8894,21.4163,0.0023,21.0532,20.4652,0.3179,0.3577,0.0264,6.9971,6.1967,7.0695,0.04,0.0272,0.019,0.0007,0.0022,0.0024,0.0769,5.5471,5.1193,5.0551,0.5126,0.2601,0.2658,5.8098,0.87996,4.70156,0.096,0.05556,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
209,1.71807,3,20.9562,2.6384,18.3144,0.0024,18.0061,17.4599,0.323,0.3023,0.0289,4.0976,8.6903,4.4659,0.044,0.0314,0.0233,0.0005,0.0028,0.0031,0.065,7.9688,5.3369,5.2651,0.5809,0.1772,0.2164,2.19972,0.83572,0.50132,0.0946,0.05472,0,4e-05,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
210,1.74052,3,21.9569,2.5405,19.413,0.0022,19.0904,18.5922,0.3283,0.3177,0.0238,7.825,6.971,3.6525,0.0322,0.0189,0.0124,0.0005,0.0014,0.0015,0.0481,6.2429,5.4311,5.3618,0.5046,0.1521,0.165,1.41864,0.84432,0.3426,0.09708,0.05556,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
211,1.76518,3,24.1289,2.7511,21.3738,0.0021,20.9494,20.4033,0.3432,0.4189,0.0223,6.171,6.0332,8.045,0.0376,0.021,0.0134,0.0004,0.0018,0.0016,0.0491,5.342,5.419,5.337,0.5679,0.1809,0.1965,4.43348,3.75108,0.34564,0.09516,0.05564,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
212,1.78569,3,19.9995,2.2391,17.7572,0.0022,17.4969,17.1232,0.2166,0.2556,0.0215,3.9076,9.0067,4.0879,0.0233,0.0172,0.0113,0.0004,0.0014,0.0013,0.0398,8.2847,5.2033,5.1369,0.5955,0.1233,0.1534,1.933,0.84664,0.86276,0.09392,0.05496,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
213,1.8054,3,19.4732,2.5926,16.8775,0.0023,16.6071,16.2145,0.2312,0.265,0.0262,6.1846,6.1612,3.6984,0.0501,0.0258,0.0123,0.0007,0.0015,0.0014,0.0466,5.4523,5.1836,5.1177,0.5892,0.1255,0.1563,1.41836,0.8474,0.3404,0.09612,0.05572,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
214,1.83024,3,24.371,2.6234,21.7437,0.0024,21.3624,20.5937,0.4642,0.3757,0.0287,7.5438,7.1327,5.7157,0.0457,0.0309,0.0179,0.0007,0.0021,0.002,0.066,6.3634,5.7109,5.6252,0.677,0.251,0.2985,2.30392,0.99164,1.04348,0.1154,0.06264,0,4e-05,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
215,1.85113,3,20.3206,2.613,17.7032,0.0027,17.3599,16.9138,0.2763,0.3379,0.0267,4.1398,7.1077,5.4911,0.0302,0.0559,0.012,0.0005,0.0017,0.0013,0.0418,6.3926,5.0725,5.009,0.5944,0.1331,0.1655,2.00596,0.91952,0.5252,0.10508,0.05812,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
216,1.87384,3,22.269,2.5222,19.7431,0.0022,19.3388,18.6559,0.4024,0.3986,0.023,6.3884,7.7287,4.3898,0.0335,0.0208,0.0139,0.0005,0.0017,0.0016,0.0486,6.9759,5.7318,5.6426,0.6225,0.2118,0.2747,2.03248,1.4012,0.3682,0.11232,0.06176,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
217,1.8997,3,25.571,3.0855,22.4819,0.0022,22.1742,21.7448,0.2633,0.3022,0.0228,6.2927,6.7465,8.5268,0.0566,0.0287,0.0133,0.0005,0.0016,0.002,0.0472,6.0574,5.8524,5.7685,0.6528,0.1339,0.1613,4.4772,3.86688,0.35352,0.10868,0.06064,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
218,1.92364,3,23.66,2.597,21.06,0.0019,20.6941,20.1102,0.402,0.361,0.0219,6.4096,9.4972,4.0243,0.0395,0.0283,0.0185,0.0006,0.0025,0.0021,0.0594,8.7542,5.2068,5.1374,0.6961,0.1863,0.1771,2.68024,1.48816,0.362,0.10084,0.05744,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
219,6.00354,3,4079.64,2.8985,4076.74,0.0025,4076.31,4075.57,0.3854,0.4294,0.0235,4058.92,9.6964,6.7454,0.0473,0.0327,0.0202,0.001,0.0024,0.0025,0.0731,8.8013,4058.13,4058.01,1.0171,0.2258,0.3401,4.6556,0.9114,3.50968,0.09792,0.05624,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
220,6.02559,3,21.7891,2.476,19.3098,0.0031,18.959,18.4893,0.2847,0.3443,0.026,4.5931,9.2686,4.469,0.0365,0.0209,0.0138,0.0005,0.0018,0.0019,0.0502,8.3652,5.8718,5.7923,0.8323,0.1496,0.1795,3.26868,1.20732,0.40868,0.13416,1.41004,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
221,6.04649,3,20.0654,2.8853,17.1762,0.0026,16.9163,16.4377,0.2432,0.2543,0.0268,6.3441,6.2609,3.6872,0.0314,0.0198,0.0126,0.0005,0.0015,0.0016,0.0458,5.5138,5.3626,5.2883,0.5701,0.1831,0.2295,1.8844,1.10768,0.4694,0.134,0.07008,0,0,484,189,204,998340,427719,510138,13,15,484,1142,1162,6
222,6.0712,3,24.4811,2.6734,21.8046,0.0021,21.3755,20.7951,0.3934,0.4229,0.0246,7.1859,6.3605,6.9591,0.0414,0.0317,0.0493,0.0011,0.0039,0.0026,0.127,5.702,5.824,5.729,0.5275,0.181,0.1807,2.86444,1.09084,1.48044,0.13256,0.06188,0,0,481,189,201,1003491,427719,515289,13,15,481,1121,1141,6
223,6.0936,3,22.075,3.0475,19.024,0.0024,18.7518,18.2749,0.3096,0.2673,0.0269,4.0048,6.5028,7.5665,0.0313,0.0202,0.0127,0.0008,0.0021,0.0021,0.0981,5.8042,4.9614,4.8987,0.6279,0.1312,0.1624,2.89396,2.10256,0.50076,0.13268,0.05996,0,0,481,189,201,1003491,427719,515289,13,15,481,1121,1141,6
224,6.11417,3,20.3752,2.5069,17.8652,0.0022,17.4359,17.0492,0.2224,0.4237,0.0233,5.8736,7.4483,3.5984,0.0238,0.0189,0.0123,0.0005,0.0015,0.0015,0.0416,6.7454,4.9941,4.9251,0.5333,0.127,0.1602,2.52964,1.81596,0.42492,0.13256,0.05932,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
225,6.13535,3,20.8353,3.1549,17.6768,0.0023,17.3638,16.5418,0.6,0.3075,0.0264,6.1502,5.5051,4.7431,0.034,0.019,0.0126,0.0006,0.0015,0.0015,0.0425,4.9098,4.9786,4.9107,0.4727,0.1989,0.2163,2.52432,1.81396,0.41856,0.13232,0.06004,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
226,6.15682,3,21.1829,2.7459,18.4339,0.002,18.1545,17.6864,0.2148,0.2742,0.0402,4.5014,5.8986,7.12,0.0396,0.0187,0.0113,0.0005,0.0016,0.0016,0.0438,5.2554,5.4629,5.385,0.469,0.1261,0.1604,4.0588,3.34636,0.42144,0.13204,0.06044,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
227,6.17654,3,19.5084,2.7892,16.7165,0.0021,16.3767,15.9964,0.2152,0.3358,0.0209,4.3645,7.8377,3.6629,0.0284,0.0179,0.012,0.0005,0.0015,0.0012,0.0429,7.1126,5.1169,5.0511,0.6078,0.1246,0.161,2.45828,0.93572,1.23204,0.1322,0.06004,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
228,6.19782,3,21.0471,2.2222,18.8225,0.0016,18.5144,18.0024,0.2262,0.3037,0.0195,3.9951,9.7251,4.1438,0.0324,0.0195,0.0119,0.0005,0.0016,0.0018,0.0457,9.0275,5.4562,5.3809,0.6602,0.1832,0.281,1.62688,0.9436,0.39052,0.13236,0.05972,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
229,6.21714,3,19.1257,2.9437,16.1787,0.0024,15.7479,15.1635,0.307,0.4251,0.1285,5.7386,5.4897,3.6953,0.0289,0.0184,0.0119,0.0005,0.0016,0.0016,0.0423,4.8909,4.7781,4.7176,0.458,0.2151,0.2713,2.41532,1.70908,0.41372,0.13216,0.06028,0,0,482,189,202,1004619,427719,516417,13,15,482,1128,1148,6
